hours,riverflow,demand,windspeed,windspeed hub height,Power,windfactor,direct,diffuse,temperature,Irradiance,panel_efficiency,efficiency,area_usage,performance_ratio,kW/m²,PV_factor
77,1529431.498,9.08739E-05,2.195,2.6,0,0,0,0,17.997,0,0.95,0.21,0.33,0.85,0,0
78,1529431.498,9.59936E-05,2.098,2.5,0,0,0,0,17.794,0,0.95,0.21,0.33,0.85,0,0
79,1529431.498,0.000106233,2.445,2.9,0,0,0.011,0.021,17.832,0.032,0.95,0.21,0.33,0.85,0.00210672,8.73975945997026E-06
80,1529431.498,0.000117752,3.033,3.5,104,1.92469E-05,0.128,0.112,20.291,0.24,0.95,0.21,0.33,0.85,0.0158004,6.55487688302494E-05
81,1529431.498,0.000127991,3.684,4.3,261.2,4.83394E-05,0.318,0.16,23.086,0.478,0.95,0.21,0.33,0.85,0.03146913,0.000130559855958
82,1529431.498,0.000130551,4.373,5.1,475,8.79066E-05,0.493,0.187,25.917,0.68,0.95,0.21,0.33,0.85,0.0447678,0.00018575793883
83,1529431.498,0.000125432,5.326,6.2,894,0.0001654495,0.643,0.194,28.56,0.837,0.95,0.21,0.33,0.85,0.055103895,0.000228688649557
84,1529431.498,0.000122872,6.529,7.6,1659,0.0003070255,0.703,0.204,30.509,0.907,0.95,0.21,0.33,0.85,0.059712345,0.000247871028359
85,1529431.498,0.000133111,7.509,8.8,2419.8,0.0004478241,0.695,0.205,31.442,0.9,0.95,0.21,0.33,0.85,0.0592515,0.000246019002508
86,1529431.498,0.000130551,7.625,8.9,2476.4,0.0004582989,0.618,0.198,31.647,0.816,0.95,0.21,0.33,0.85,0.05372136,0.000223112118761
87,1529431.498,0.000125432,6.574,7.7,1723,0.0003188697,0.48,0.183,31.277,0.663,0.95,0.21,0.33,0.85,0.043648605,0.000181319050971
88,1529431.498,0.000120312,5.764,6.7,1138.4,0.0002106798,0.299,0.155,30.387,0.454,0.95,0.21,0.33,0.85,0.02988909,0.000124183676958
89,1529431.498,0.000131831,5.202,6.1,848,0.0001569365,0.109,0.102,28.726,0.211,0.95,0.21,0.33,0.85,0.013891185,5.77224894205072E-05
90,1529431.498,0.00015103,5.105,6,802,0.0001484234,0.007,0.013,25.471,0.02,0.95,0.21,0.33,0.85,0.0013167,5.47164184821118E-06
91,1529431.498,0.00014719,5.371,6.3,940,0.0001739626,0,0,23.786,0,0.95,0.21,0.33,0.85,0,0
92,1529431.498,0.000139511,4.842,5.7,685,0.0001267706,0,0,22.911,0,0.95,0.21,0.33,0.85,0,0
93,1529431.498,0.000127991,4.187,4.9,414.8,7.67656E-05,0,0,22.284,0,0.95,0.21,0.33,0.85,0,0
94,1529431.498,0.000116472,3.778,4.4,283.6,5.24849E-05,0,0,21.655,0,0.95,0.21,0.33,0.85,0,0
95,1529431.498,9.47136E-05,3.542,4.1,216.4,4.00484E-05,0,0,20.958,0,0.95,0.21,0.33,0.85,0,0
96,1529431.498,8.9594E-05,3.617,4.2,238.8,4.41939E-05,0,0,20.458,0,0.95,0.21,0.33,0.85,0,0
97,1529431.498,8.31944E-05,3.374,3.9,176,3.25717E-05,0,0,20.05,0,0.95,0.21,0.33,0.85,0,0
98,1529431.498,8.31944E-05,3.526,4.1,216.4,4.00484E-05,0,0,19.691,0,0.95,0.21,0.33,0.85,0,0
99,1529431.498,8.19145E-05,4.274,5,442,8.17994E-05,0,0,19.336,0,0.95,0.21,0.33,0.85,0,0
100,1529431.498,8.44743E-05,3.609,4.2,238.8,4.41939E-05,0,0,19.001,0,0.95,0.21,0.33,0.85,0,0
101,1529431.498,8.70342E-05,2.793,3.3,75.6,1.3991E-05,0,0,18.704,0,0.95,0.21,0.33,0.85,0,0
102,1529431.498,9.85534E-05,2.117,2.5,0,0,0,0,18.387,0,0.95,0.21,0.33,0.85,0,0
103,1529431.498,0.000102393,1.591,1.9,0,0,0.012,0.021,18.336,0.033,0.95,0.21,0.33,0.85,0.002172555,9.0282584489452E-06
104,1529431.498,0.000115192,1.518,1.8,0,0,0.139,0.11,20.461,0.249,0.95,0.21,0.33,0.85,0.016392915,6.81229287825393E-05
105,1529431.498,0.000126711,2.042,2.4,0,0,0.332,0.156,22.875,0.488,0.95,0.21,0.33,0.85,0.03212748,0.000133519092683
106,1529431.498,0.000130551,2.738,3.2,61.4,1.13631E-05,0.51,0.182,25.266,0.692,0.95,0.21,0.33,0.85,0.04555782,0.00018935973424
107,1529431.498,0.000133111,3.711,4.3,261.2,4.83394E-05,0.63,0.201,27.521,0.831,0.95,0.21,0.33,0.85,0.054708885,0.000227438933604
108,1529431.498,0.000130551,4.918,5.7,685,0.0001267706,0.693,0.209,29.35,0.902,0.95,0.21,0.33,0.85,0.05938317,0.00024692730181
109,1529431.498,0.000127991,5.671,6.6,1085.2,0.0002008343,0.685,0.211,30.63,0.896,0.95,0.21,0.33,0.85,0.05898816,0.000245345352335
110,1529431.498,0.000133111,5.055,5.9,763,0.0001412058,0.608,0.204,31.226,0.812,0.95,0.21,0.33,0.85,0.05345802,0.000222398790063
111,1529431.498,0.000129271,3.606,4.2,238.8,4.41939E-05,0.469,0.188,31.106,0.657,0.95,0.21,0.33,0.85,0.043253595,0.000179985847688
112,1529431.498,0.000116472,1.978,2.3,0,0,0.286,0.16,30.335,0.446,0.95,0.21,0.33,0.85,0.02936241,0.000122204168642
113,1529431.498,0.000120312,3.083,3.6,122,2.25781E-05,0.099,0.105,29.032,0.204,0.95,0.21,0.33,0.85,0.01343034,5.59029087050694E-05
114,1529431.498,0.000139511,3.83,4.5,306,5.66304E-05,0.006,0.013,25.842,0.019,0.95,0.21,0.33,0.85,0.001250865,5.20693454061135E-06
115,1529431.498,0.00014847,4.342,5.1,475,8.79066E-05,0,0,24.111,0,0.95,0.21,0.33,0.85,0,0
116,1529431.498,0.000138231,4.86,5.7,685,0.0001267706,0,0,23.384,0,0.95,0.21,0.33,0.85,0,0
117,1529431.498,0.000126711,5.149,6,802,0.0001484234,0,0,22.891,0,0.95,0.21,0.33,0.85,0,0
118,1529431.498,0.000115192,5.304,6.2,894,0.0001654495,0,0,22.603,0,0.95,0.21,0.33,0.85,0,0
119,1529431.498,0.000103673,5.207,6.1,848,0.0001569365,0,0,22.486,0,0.95,0.21,0.33,0.85,0,0
120,1529431.498,9.21538E-05,5.142,6,802,0.0001484234,0,0,21.663,0,0.95,0.21,0.33,0.85,0,0
121,1529431.498,8.31944E-05,5.04,5.9,763,0.0001412058,0,0,20.476,0,0.95,0.21,0.33,0.85,0,0
122,1529431.498,8.19145E-05,3.897,4.6,333.2,6.16642E-05,0,0,19.51,0,0.95,0.21,0.33,0.85,0,0
123,1529431.498,8.31944E-05,3.804,4.4,283.6,5.24849E-05,0,0,18.81,0,0.95,0.21,0.33,0.85,0,0
124,1529431.498,8.44743E-05,2.489,2.9,0,0,0,0,18.229,0,0.95,0.21,0.33,0.85,0,0
125,1529431.498,8.57542E-05,1.618,1.9,0,0,0,0,17.726,0,0.95,0.21,0.33,0.85,0,0
126,1529431.498,8.83141E-05,1.697,2,0,0,0,0,17.326,0,0.95,0.21,0.33,0.85,0,0
127,1529431.498,0.000101113,1.91,2.2,0,0,0.008,0.021,17.368,0.029,0.95,0.21,0.33,0.85,0.001909215,7.94746778603553E-06
128,1529431.498,0.000111353,2.183,2.6,0,0,0.104,0.118,19.471,0.222,0.95,0.21,0.33,0.85,0.01461537,6.08397196768808E-05
129,1529431.498,0.000112632,2.619,3.1,47.2,8.7351E-06,0.286,0.172,22.186,0.458,0.95,0.21,0.33,0.85,0.03015243,0.000125523815266
130,1529431.498,0.000112632,3.213,3.8,158,2.92405E-05,0.462,0.2,25.113,0.662,0.95,0.21,0.33,0.85,0.04358277,0.000181456763403
131,1529431.498,0.000106233,3.999,4.7,360.4,6.6698E-05,0.655,0.191,27.978,0.846,0.95,0.21,0.33,0.85,0.05569641,0.000231933961876
132,1529431.498,0.000108793,4.908,5.7,685,0.0001267706,0.716,0.2,29.776,0.916,0.95,0.21,0.33,0.85,0.06030486,0.000251182973085
133,1529431.498,0.000113912,5.502,6.4,986,0.0001824756,0.708,0.202,30.805,0.91,0.95,0.21,0.33,0.85,0.05990985,0.00024960036513
134,1529431.498,0.000113912,5.274,6.2,894,0.0001654495,0.631,0.195,31.243,0.826,0.95,0.21,0.33,0.85,0.05437971,0.000226616895085
135,1529431.498,0.000110073,3.899,4.6,333.2,6.16642E-05,0.492,0.18,31.12,0.672,0.95,0.21,0.33,0.85,0.04424112,0.000184408077513
136,1529431.498,0.000102393,1.817,2.1,0,0,0.307,0.153,30.387,0.46,0.95,0.21,0.33,0.85,0.0302841,0.000126255002168
137,1529431.498,0.000106233,3.18,3.7,140,2.59093E-05,0.113,0.102,29.12,0.215,0.95,0.21,0.33,0.85,0.014154525,5.90179414542021E-05
138,1529431.498,0.000117752,4.118,4.8,387.6,7.17318E-05,0.007,0.013,26.027,0.02,0.95,0.21,0.33,0.85,0.0013167,5.49036509555294E-06
139,1529431.498,0.000127991,5.507,6.4,986,0.0001824756,0,0,24.484,0,0.95,0.21,0.33,0.85,0,0
140,1529431.498,0.000136951,6.233,7.3,1476.2,0.0002731953,0,0,23.762,0,0.95,0.21,0.33,0.85,0,0
141,1529431.498,0.000134391,6.197,7.2,1416.8,0.0002622023,0,0,23.437,0,0.95,0.21,0.33,0.85,0,0
142,1529431.498,0.000115192,5.716,6.7,1138.4,0.0002106798,0,0,23.215,0,0.95,0.21,0.33,0.85,0,0
143,1529431.498,0.000103673,5.134,6,802,0.0001484234,0,0,23.305,0,0.95,0.21,0.33,0.85,0,0
144,1529431.498,9.21538E-05,4.729,5.5,607,0.0001123354,0,0,22.083,0,0.95,0.21,0.33,0.85,0,0
145,1529431.498,8.57542E-05,4.372,5.1,475,8.79066E-05,0,0,20.665,0,0.95,0.21,0.33,0.85,0,0
146,1529431.498,8.44743E-05,3.522,4.1,216.4,4.00484E-05,0,0,19.799,0,0.95,0.21,0.33,0.85,0,0
147,1529431.498,8.31944E-05,3.601,4.2,238.8,4.41939E-05,0,0,19.223,0,0.95,0.21,0.33,0.85,0,0
148,1529431.498,8.31944E-05,2.822,3.3,75.6,1.3991E-05,0,0,18.632,0,0.95,0.21,0.33,0.85,0,0
149,1529431.498,8.44743E-05,2.219,2.6,0,0,0,0,18.085,0,0.95,0.21,0.33,0.85,0,0
150,1529431.498,8.44743E-05,2.001,2.3,0,0,0,0,17.614,0,0.95,0.21,0.33,0.85,0,0
151,1529431.498,8.57542E-05,2.204,2.6,0,0,0.012,0.021,17.626,0.033,0.95,0.21,0.33,0.85,0.002172555,9.05915214571509E-06
152,1529431.498,9.08739E-05,2.632,3.1,47.2,8.7351E-06,0.141,0.11,20.037,0.251,0.95,0.21,0.33,0.85,0.016524585,6.89050844814769E-05
153,1529431.498,9.08739E-05,3.122,3.6,122,2.25781E-05,0.343,0.153,22.864,0.496,0.95,0.21,0.33,0.85,0.03265416,0.000136172418441
154,1529431.498,9.21538E-05,3.54,4.1,216.4,4.00484E-05,0.527,0.177,25.775,0.704,0.95,0.21,0.33,0.85,0.04634784,0.000193303303592
155,1529431.498,8.9594E-05,3.844,4.5,306,5.66304E-05,0.663,0.19,28.683,0.853,0.95,0.21,0.33,0.85,0.056157255,0.000234260791856
156,1529431.498,8.70342E-05,3.988,4.7,360.4,6.6698E-05,0.72,0.201,30.919,0.921,0.95,0.21,0.33,0.85,0.060634035,0.000252995010422
157,1529431.498,8.57542E-05,3.915,4.6,333.2,6.16642E-05,0.679,0.215,32.009,0.894,0.95,0.21,0.33,0.85,0.05885649,0.000245640364372
158,1529431.498,8.9594E-05,3.052,3.6,122,2.25781E-05,0.554,0.227,32.298,0.781,0.95,0.21,0.33,0.85,0.051417135,0.000214644587315
159,1529431.498,9.08739E-05,1.784,2.1,0,0,0.373,0.226,31.901,0.599,0.95,0.21,0.33,0.85,0.039435165,0.000164660321426
160,1529431.498,9.47136E-05,1.966,2.3,0,0,0.201,0.19,31.112,0.391,0.95,0.21,0.33,0.85,0.025741485,0.000107500481828
161,1529431.498,9.85534E-05,4.134,4.8,387.6,7.17318E-05,0.072,0.111,29.767,0.183,0.95,0.21,0.33,0.85,0.012047805,5.03189340525E-05
162,1529431.498,0.000130551,5.449,6.4,986,0.0001824756,0.006,0.013,26.812,0.019,0.95,0.21,0.33,0.85,0.001250865,5.22463310014054E-06
163,1529431.498,0.000138231,5.635,6.6,1085.2,0.0002008343,0,0,25.381,0,0.95,0.21,0.33,0.85,0,0
164,1529431.498,0.000133111,5.673,6.6,1085.2,0.0002008343,0,0,24.976,0,0.95,0.21,0.33,0.85,0,0
165,1529431.498,0.000121592,5.556,6.5,1032,0.0001909887,0,0,25.23,0,0.95,0.21,0.33,0.85,0,0
166,1529431.498,0.000111353,5.313,6.2,894,0.0001654495,0,0,24.306,0,0.95,0.21,0.33,0.85,0,0
167,1529431.498,9.72735E-05,4.806,5.6,646,0.000119553,0,0,22.91,0,0.95,0.21,0.33,0.85,0,0
168,1529431.498,8.57542E-05,4.478,5.2,508,9.40138E-05,0,0,21.602,0,0.95,0.21,0.33,0.85,0,0
169,1529431.498,7.80748E-05,4.538,5.3,541,0.000100121,0,0,20.448,0,0.95,0.21,0.33,0.85,0,0
170,1529431.498,8.06346E-05,3.537,4.1,216.4,4.00484E-05,0,0,19.56,0,0.95,0.21,0.33,0.85,0,0
171,1529431.498,8.70342E-05,3.359,3.9,176,3.25717E-05,0,0,18.881,0,0.95,0.21,0.33,0.85,0,0
172,1529431.498,9.72735E-05,2.853,3.3,75.6,1.3991E-05,0,0,18.347,0,0.95,0.21,0.33,0.85,0,0
173,1529431.498,0.000108793,2.557,3,33,6.1072E-06,0,0,17.918,0,0.95,0.21,0.33,0.85,0,0
174,1529431.498,0.000116472,3.071,3.6,122,2.25781E-05,0,0,17.481,0,0.95,0.21,0.33,0.85,0,0
175,1529431.498,0.000120312,3.407,4,194,3.59029E-05,0.016,0.021,17.333,0.037,0.95,0.21,0.33,0.85,0.002435895,1.01743386679866E-05
176,1529431.498,0.000125432,3.668,4.3,261.2,4.83394E-05,0.172,0.099,19.866,0.271,0.95,0.21,0.33,0.85,0.017841285,7.45209143908685E-05
177,1529431.498,0.000121592,3.853,4.5,306,5.66304E-05,0.38,0.137,22.762,0.517,0.95,0.21,0.33,0.85,0.034036695,0.000142177800903
178,1529431.498,0.000120312,4.303,5,442,8.17994E-05,0.561,0.16,25.83,0.721,0.95,0.21,0.33,0.85,0.047467035,0.000198307100962
179,1529431.498,0.000120312,4.441,5.2,508,9.40138E-05,0.693,0.173,28.71,0.866,0.95,0.21,0.33,0.85,0.05701311,0.000238235800624
180,1529431.498,0.000129271,4.836,5.7,685,0.0001267706,0.756,0.182,31.115,0.938,0.95,0.21,0.33,0.85,0.06175323,0.000258104423877
181,1529431.498,0.000125432,5.708,6.7,1138.4,0.0002106798,0.748,0.183,32.288,0.931,0.95,0.21,0.33,0.85,0.061292385,0.000256244409275
182,1529431.498,0.000116472,5.739,6.7,1138.4,0.0002106798,0.669,0.177,32.715,0.846,0.95,0.21,0.33,0.85,0.05569641,0.000232909058924
183,1529431.498,0.000115192,6.566,7.7,1723,0.0003188697,0.528,0.163,32.543,0.691,0.95,0.21,0.33,0.85,0.045491985,0.000190280913558
184,1529431.498,0.000115192,7.767,9.1,2574.4,0.0004764354,0.339,0.139,32.082,0.478,0.95,0.21,0.33,0.85,0.03146913,0.000131652079359
185,1529431.498,0.000126711,8.079,9.4,2698.6,0.0004994207,0.134,0.096,30.705,0.23,0.95,0.21,0.33,0.85,0.01514205,6.33555757313988E-05
186,1529431.498,0.000138231,6.952,8.1,1982,0.000366802,0.01,0.013,27.096,0.023,0.95,0.21,0.33,0.85,0.001514205,6.33595899146959E-06
187,1529431.498,0.00015231,5.966,7,1298,0.0002402164,0,0,25.21,0,0.95,0.21,0.33,0.85,0,0
188,1529431.498,0.00014719,5.277,6.2,894,0.0001654495,0,0,24.201,0,0.95,0.21,0.33,0.85,0,0
189,1529431.498,0.000135671,4.822,5.6,646,0.000119553,0,0,22.657,0,0.95,0.21,0.33,0.85,0,0
190,1529431.498,0.000121592,4.753,5.6,646,0.000119553,0,0,21.427,0,0.95,0.21,0.33,0.85,0,0
191,1529431.498,0.000110073,4.635,5.4,574,0.0001062282,0,0,20.696,0,0.95,0.21,0.33,0.85,0,0
192,1529431.498,8.19145E-05,4.609,5.4,574,0.0001062282,0,0,20.16,0,0.95,0.21,0.33,0.85,0,0
193,1529431.498,7.93547E-05,4.76,5.6,646,0.000119553,0,0,19.592,0,0.95,0.21,0.33,0.85,0,0
194,1529431.498,7.80748E-05,4.829,5.6,646,0.000119553,0,0,19.082,0,0.95,0.21,0.33,0.85,0,0
195,1529431.498,7.80748E-05,6.221,7.3,1476.2,0.0002731953,0,0,18.63,0,0.95,0.21,0.33,0.85,0,0
